OS,SP,ARCH,FILE,MINVER,FIXVER,DIR,BULLETIN,KB
5.2,2,x86,Vbscript.dll,5.6.0.0,5.6.0.8838,\system32,bulletin,981350
5.1,3,x86,Vbscript.dll,5.8.0.0,5.8.6001.23000,\system32,bulletin,981332
5.1,3,x86,Vbscript.dll,5.7.0.0,5.7.6002.22354,\system32,bulletin,981349
5.1,2,x86,Vbscript.dll,5.8.0.0,5.8.6001.23000,\system32,bulletin,981332
5.1,2,x86,Vbscript.dll,5.7.0.0,5.7.6002.22354,\system32,bulletin,981349
5.1,2,x86,Vbscript.dll,5.7.0.0,5.6.0.8838,\system32,bulletin,981350
5,2,x86,Vbscript.dll,5.7.0.0,5.7.6002.22354,\system32,bulletin,981349
5,2,x86,Vbscript.dll,5.1.0.0,5.6.0.8838,\system32,bulletin,981350
6.1,2,x64,Smtpsvc.dll,7.5.7600.20000,7.5.7600.20660,\system32\inetsrv,bulletin,976323
6.1,2,x64,Smtpsvc.dll,7.5.7600.16000,7.5.7600.16544,\system32\inetsrv,bulletin,976323
6,2,x64,Smtpsvc.dll,7.0.6002.22000,7.0.6002.22354,\system32\inetsrv,bulletin,976323
6,2,x64,Smtpsvc.dll,7.0.6002.18000,7.0.6002.18222,\system32\inetsrv,bulletin,976323
6,1,x64,Smtpsvc.dll,7.0.6001.22000,7.0.6001.22648,\system32\inetsrv,bulletin,976323
6,1,x64,Smtpsvc.dll,7.0.6001.18000,7.0.6001.18440,\system32\inetsrv,bulletin,976323
5.2,2,x64,Smtpsvc.dll,7.0.6001.18000,6.0.3790.4675,\system32\inetsrv,bulletin,976323
5.1,3,x86,Smtpsvc.dll,7.0.6001.18000,6.0.2600.5949,\system32\inetsrv,bulletin,976323
5.1,2,x86,Smtpsvc.dll,7.0.6001.18000,6.0.2600.3680,\system32\inetsrv,bulletin,976323
5,2,x86,Smtpsvc.dll,7.0.6001.18000,5.0.2195.7381,\system32\inetsrv,bulletin,976323
5,2,x86,nsum.exe,7.0.6001.18000,4.1.0.3939,\system32\windowsmedia\server,bulletin,kb
6,2,x86,L3codecp.acm,7.0.6001.18000,3.4.0.0,\system32,bulletin,kb
6,2,x86,L3codeca.acm,7.0.6001.18000,1.9.0.402,\system32,bulletin,kb
5.2,2,x64,L3codecx.ax,7.0.6001.18000,1.6.0.51,\SysWOW64,bulletin,kb
5.2,2,x64,L3codeca.acm,7.0.6001.18000,1.9.0.306,\SysWOW64,bulletin,kb
5.2,2,x86,L3codecx.ax,7.0.6001.18000,1.6.0.51,\system32,bulletin,kb
5.2,2,x86,L3codeca.acm,7.0.6001.18000,1.9.0.306,\system32,bulletin,kb
5.1,2,x86,L3codecx.ax,7.0.6001.18000,1.6.0.51,\system32,bulletin,kb
5.1,2,x86,L3codeca.acm,7.0.6001.18000,1.9.0.306,\system32,bulletin,kb
5,2,x86,L3codecx.ax,7.0.6001.18000,1.6.0.51,\system32,bulletin,kb
5,2,x86,L3codeca.acm,7.0.6001.18000,1.9.0.306,\system32,bulletin,kb
5.1,3,x86,Wmp.dll,9.0.0.0,9.0.0.4508,\system32,bulletin,kb
5.1,2,x86,Wmp.dll,9.0.0.0,9.0.0.3367,\system32,bulletin,kb
5,2,x86,Wmp.dll,9.0.0.0,9.0.0.3367,\system32,bulletin,kb
5,2,x86,Vislib.dll,9.0.0.0,12.0.6524.5003,\system32,bulletin,979365
5,2,x86,Visio11\Vislib.dll,9.0.0.0,11.0.8321.0,\system32,bulletin,979356
5,2,x86,Visio10\Vislib.dll,9.0.0.0,10.0.6890.4,\system32,bulletin,979364
6,2,x86,Tcpip.sys,6.0.6002.20000,6.0.6002.22341,\system32\drivers,bulletin,kb
6,2,x86,Tcpip.sys,6.0.6002.18000,6.0.6002.18209,\system32\drivers,bulletin,kb
6,1,x86,Tcpip.sys,6.0.6001.20000,6.0.6001.22636,\system32\drivers,bulletin,kb
6,1,x86,Tcpip.sys,6.0.6001.18000,6.0.6001.18427,\system32\drivers,bulletin,kb
6,0,x86,Tcpip.sys,6.0.6000.20000,6.0.6000.21226,\system32\drivers,bulletin,kb
6,0,x86,Tcpip.sys,6.0.6000.16000,6.0.6000.17021,\system32\drivers,bulletin,kb
5.2,2,x86,Tcpip6.sys,6.0.6000.16000,5.2.3790.4662,\system32\drivers,bulletin,kb
5.1,3,x86,Tcpip6.sys,5.1.2600.5000,5.1.2600.5935,\system32\drivers,bulletin,kb
5.1,2,x86,Tcpip6.sys,5.1.2600.5000,5.1.2600.3667,\system32\drivers,bulletin,kb
6.1,0,x86,Inetcomm.dll,6.0.7600.16000,6.1.7600.16543,\system32,bulletin,kb
6.1,0,x86,Inetcomm.dll,6.1.7600.20000,6.1.7600.20659,\system32,bulletin,kb
6,1,x86,Inetcomm.dll,6.0.6001.18000,6.0.6001.18416,\system32,bulletin,kb
6,1,x86,Inetcomm.dll,6.0.6001.22000,6.0.6001.22621,\system32,bulletin,kb
6,2,x86,Inetcomm.dll,6.0.6002.18000,6.0.6002.18197,\system32,bulletin,kb
6,2,x86,Inetcomm.dll,6.0.6002.22000,6.0.6002.22325,\system32,bulletin,kb
5.2,2,x86,Inetcomm.dll,6.0.6002.22000,6.0.3790.4657,\system32,bulletin,kb
5.1,2,x86,Inetcomm.dll,6.0.6002.22000,6.0.2900.3664,\system32,bulletin,kb
5.1,3,x86,Inetcomm.dll,6.0.6002.22000,6.0.2900.5931,\system32,bulletin,kb
5,3,x86,Inetcomm.dll,6.0.0.0,6.0.2800.2001,\system32,bulletin,kb
5,3,x86,Inetcomm.dll,6.0.0.0,5.50.5010.200,\system32,bulletin,kb
6.1,0,x86,Win32k.sys,6.1.7600.20000,6.1.7600.20704,\system32,bulletin,kb
